Evidence,id
0,0
PMID:23644510,1
PMID:25514926,2
PMID:23161681,3
PMID:23748837,4
PMID:24129315,5
PMID:21115810,6
PMID:16627869,7
PMID:12937907,8
PMID:23583077,10
PMID:15707495,11
PMID:17022627,12
PMID:12060738,13
PMID:18471979,14
PMID:17108971,15
PMID:12692561,25
PMID:20959290,27
PMID:15591590,29
PMID:18438403,33
PMID:21098664,34
PMID:19216533,36
PMID:17506542,37
PMID:10344244,38
PMID:17567059,42
PMID:19262565,49
PMID:18790802,53
PMID:19351588,54
PMID:18491381,55
PMID:20137074,56
PMID:20603076,57
PMID:uniprot,58
PMID:22865923,59
PMID:23797873,63
PMID:23634251,72
PMID:23706821,78
PMID:23352453,79
PMID:25505155,80
PMID:26759222,81
PMID:18840612,82
PMID:24101509,83
PMID:27577262,84
PMID:19552482,85
PMID:22033876,86
PMID:19317492,87
PMID:23289424,88
PMID:27369080,89
PMID:18247584,92
PMID:24240613,93
PMID:16446289,94
PMID:26750096,95
PMID:17194708,97
CSTCS:3777,98
CSTCS:20128,99
CSTCS:3658,100
CSTCS:20133,101
CSTCS:5152,102
CSTCS:5156,103
CSTCS:5996,104
CSTCS:16501,105
CSTCS:8360,106
CSTCS:3746,108
CSTCS:18853,109
CSTCS:9897,110
CSTCS:9907,111
CSTCS:9898,112
CSTCS:9911,113
CSTCS:8354,114
CSTCS:8358,115
CSTCS:5150,116
CSTCS:20130,117
CSTCS:9905,118
CSTCS:20129,119
CSTCS:7364,121
CSTCS:5153,122
CSTCS:7363,123
CSTCS:8353,124
CSTCS:9896,125
CSTCS:9899,126
CSTCS:9904,128
CSTCS:20131,129
CSTCS:20126,131
CSTCS:8356,132
CSTCS:20125,133
CSTCS:18852,134
CSTCS:9908,135
CSTCS:16504,136
CSTCS:9903,137
CSTCS:8359,138
CSTCS:9910,139
CSTCS:20127,140
CSTCS:16503,141
CSTCS:20132,142
CSTCS:3750,143
CSTCS:5995,144
CSTCS:8357,145
CSTCS:5151,147
CSTCS:9906,148
CSTCS:5158,149
CSTCS:9909,150
CSTCS:9901,151
CSTCS:9902,152
CSTCS:5154,153
PMID:115973807,154
PMID:23673617,155
PMID:68573,157
PMID:68469,160
PMID:130857,162
PMID:115973163,164
PMID:115973171,165
PMID:115976713,166
PMID:115488879,167
PMID:115975693,168
PMID:115978471,173
PMID:83045199,174
PMID:115979969,175
PMID:115976811,179
PMID:21684113,181
PMID:115978099,185
PMID:2380341,188
PMID:115981107,190
PMID:2380343,191
PMID:24791763,193
PMID:115972531,194
PMID:115971253,196
PMID:116252985,199
PMID:115976479,202
PMID:115972503,203
PMID:110867271,204
PMID:115975233,207
PMID:412433599,219
PMID:25023281,221
PMID:22820736,224
PMID:54390711,225
PMID:91365,226
PMID:115975009,229
PMID:18183946,230
PMID:115981197,232
PMID:115972827,236
PMID:17043054,237
PMID:19608861,239
PMID:15469825,241
PMID:21249133,243
PMID:16267050,245
PMID:100189199,255
PMID:72620173,256
PMID:22641425,257
PMID:22641419,258
PMID:115970577,260
PMID:116253053,262
PMID:82976311,263
PMID:115975679,264
PMID:190310425,266
PMID:82974403,269
PMID:115970695,270
PMID:129651,272
PMID:22641245,273
PMID:37092753,277
PMID:22641087,278
PMID:116251837,280
